# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "1" "-p" "-B" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "unzipped.gtf" "-o" "SRR453566_featurecounts.txt" "SRR453566_final_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566_final_sorted.bam
YDR285W	IV	1032436	1035063	+	2628	163
YDL229W	IV	44065	45906	+	1842	10776
YDR329C	IV	1126270	1127595	-	1326	796
YDR034C	IV	509737	512109	-	2373	1376
YDR009W	IV	463434	464996	+	1563	66
tS(AGA)D2	IV	980974	981055	-	82	6
YDR488C	IV	1429188	1430789	-	1602	227
YDR103W	IV	658350	661103	+	2754	583
YDR336W	IV	1145092	1146036	+	945	209
YDL101C	IV	280307	281848	-	1542	622
YDR162C	IV	780390	781100	-	711	462
YDR312W	IV	1087581	1088942	+	1362	702
YDL061C	IV	340628	340798	-	171	4932
YDL040C	IV	378874	381438	-	2565	1937
YDR145W	IV	746738	748357	+	1620	1147
YDR124W	IV	700315	701289	+	975	167
YDL231C	IV	38867	42244	-	3378	1050
YDR190C	IV	840604	841995	-	1392	2035
YDL064W	IV;IV	337487;337635	337524;338070	+;+	474	583
YDR463W	IV	1386816	1388375	+	1560	1328
YDR491C	IV	1434500	1434991	-	492	54
YDR449C	IV	1357580	1358902	-	1323	788
YDL035C	IV	389172	392057	-	2886	894
YDR074W	IV	593893	596583	+	2691	1221
YDR525W	IV	1489905	1490234	+	330	4
YDR257C	IV	969990	971474	-	1485	708
YDR402C	IV	1272234	1273703	-	1470	32
YDR450W	IV;IV	1359923;1360405	1359969;1360798	+;+	441	14463
YDR376W	IV	1226822	1228303	+	1482	601
YDR161W	IV	779043	780206	+	1164	818
YDR090C	IV	625066	625998	-	933	382
YDR189W	IV	838392	840392	+	2001	1037
YDR524C	IV	1487542	1488990	-	1449	627
YDL237W	IV	30657	31829	+	1173	740
YDR188W	IV	836421	838061	+	1641	3369
YDL133C-A	IV	221724	221801	-	78	16287
YDR531W	IV	1498232	1499335	+	1104	1441
tG(GCC)D1	IV	83548	83618	+	71	0
YDR226W	IV	916486	917154	+	669	6218
YDL054C	IV	359825	361285	-	1461	783
YDL205C	IV	92762	93745	-	984	958
YDR537C	IV	1510856	1511461	-	606	1
YDR496C	IV	1441433	1443403	-	1971	1877
YDR313C	IV	1089219	1090079	-	861	279
YDL108W	IV;IV	267698;267807	267725;268699	+;+	921	353
tV(CAC)D	IV	1075472	1075544	-	73	0
YDR340W	IV	1150881	1151183	+	303	9
YDL147W	IV	190924	192261	+	1338	3050
YDL081C	IV	309802	310122	-	321	9587
YDR283C	IV	1025070	1030049	-	4980	898
YDR261C	IV	977521	979209	-	1689	998
