Chromosome,GeneStart,GeneEnd,GeneLength,ConcTumor,ConcNormal,Fold,FDR,Annotation,Symbol,GeneName,Direction
chr3,193770543,193772424,1882,4.728430992,2.755585409,1.262928427,0.041293329,Exon ,LOC105374282,uncharacterized LOC105374282,Open
chr8,124751751,124757387,5637,5.443107583,3.047768894,1.3243511,0.041293329,Distal Intergenic,LOC105375741,uncharacterized LOC105375741,Open
chr1,246568028,246609048,41021,6.524784106,4.015964117,1.33211249,0.041293329,Promoter ,LOC105373271,uncharacterized LOC105373271,Open
chr20,54068408,54068485,78,5.270989532,3.073568874,1.302260633,0.041293329,Promoter ,MIR4756,microRNA 4756,Open
chr1,180152489,180154169,1681,5.100868905,2.963864323,1.28678889,0.041293329,Distal Intergenic,LOC105371636,uncharacterized LOC105371636,Open
chr8,94249253,94262350,13098,4.965701978,3.252674039,1.192898883,0.041293329,Distal Intergenic,GEM,GTP binding protein overexpressed in skeletal muscle,Open
chr1,216503254,217137754,634501,4.158072106,2.472152271,1.185948012,0.041293329,Intron ,ESRRG,estrogen related receptor gamma,Open
chr6,42206807,42217861,11055,4.516251201,2.331617098,1.292521344,0.041293329,Distal Intergenic,MRPS10,mitochondrial ribosomal protein S10,Open
chr16,2361144,2425685,64542,5.344479589,3.036025447,1.30543892,0.041293329,Intron ,ABCA17P,ATP binding cassette subfamily A member 17 pseudogene,Open
chr8,101387299,101393205,5907,4.518616444,2.857004336,1.172447783,0.041293329,Intron ,LINC02845,long intergenic non-protein coding RNA 2845,Open
chr17,62944215,62944312,98,4.362831209,2.139984062,1.289422956,0.041293329,Intron ,MIR633,microRNA 633,Open
chr8,127946559,127948723,2165,4.718478436,2.956378572,1.200040729,0.041293329,Intron ,LINC02912,long intergenic non-protein coding RNA 2912,Open
chr8,117799414,118017235,217822,4.880562278,2.787505171,1.269163991,0.041293329,Intron ,EXT1,exostosin glycosyltransferase 1,Open
chr3,176814155,176817001,2847,4.941159781,2.998792371,1.242504212,0.041293329,Intron ,LINC01209,long intergenic non-protein coding RNA 1209,Open
chr17,62944215,62944312,98,6.078329626,3.567574124,1.31011682,0.041293329,Distal Intergenic,MIR633,microRNA 633,Open
chr17,74203582,74209880,6299,5.514339787,3.22605478,1.294969973,0.041293329,Intron ,RPL38,ribosomal protein L38,Open
chr21,36399502,36412962,13461,4.33702292,2.295480161,1.258688298,0.041293329,Promoter ,CHAF1B,chromatin assembly factor 1 subunit B,Open
chr17,39765496,39778225,12730,7.068447727,3.654565476,1.277507679,0.041293329,Intron ,IKZF3,IKAROS family zinc finger 3,Open
chr1,180154897,180198034,43138,5.297945001,3.149319688,1.275710998,0.041293329,Promoter ,QSOX1,quiescin sulfhydryl oxidase 1,Open
chr1,202013778,202015794,2017,5.110910547,2.986226939,1.270493868,0.041293329,Distal Intergenic,ELF3,E74 like ETS transcription factor 3,Open
chr17,78997666,79006213,8548,6.001192645,3.585995638,1.298954213,0.041293329,Promoter ,CANT1,calcium activated nucleotidase 1,Open
chr19,38087756,38088851,1096,4.517071959,2.676351849,1.212466593,0.041293329,Intron ,SIPA1L3,signal induced proliferation associated 1 like 3,Open
chr19,13150415,13155013,4599,4.957750971,3.1828114,1.200134483,0.041293329,Exon ,IER2,immediate early response 2,Open
chr17,79950571,79993634,43064,5.011013654,3.126519105,1.229457963,0.041293329,Intron ,TBC1D16,TBC1 domain family member 16,Open
chr10,62183035,62236263,53229,4.284428527,2.713836201,1.139805927,0.041293329,3' UTR,RTKN2,rhotekin 2,Open
chr17,76574481,76578983,4503,5.238588359,3.133846242,1.264275076,0.041293329,Promoter ,ST6GALNAC2,ST6 N-acetylgalactosaminide alpha-26-sialyltransferase 2,Open
chr9,126805006,126838210,33205,4.642459887,2.941406114,1.176459416,0.041293329,Distal Intergenic,ZBTB43,zinc finger and BTB domain containing 43,Open
chr15,78001704,78003579,1876,5.102095461,3.047475392,1.253579738,0.041293329,Promoter ,TBC1D2B,TBC1 domain family member 2B,Open
chr3,175124406,175655563,531158,5.260966861,3.238017859,1.25024781,0.041293329,Intron ,NAALADL2,N-acetylated alpha-linked acidic dipeptidase like 2,Open
chr6,14456189,14502715,46527,4.222854674,2.558707073,1.159000041,0.041293329,Intron ,LOC101928331,uncharacterized LOC101928331,Open
chr8,118753602,118893222,139621,4.703063765,2.830260378,1.215446093,0.041293329,Intron ,LOC124902007,uncharacterized LOC124902007,Open
chr1,222590179,222593439,3261,4.26719028,2.215699453,1.253664821,0.041293329,Distal Intergenic,TAF1A-AS1,TAF1A antisense RNA 1,Open
chr1,207805246,207869111,63866,5.642090839,3.662739995,1.240082307,0.041293329,Intron ,MIR29B2CHG,MIR29B2 and MIR29C host gene,Open
chr5,133220773,133252264,31492,4.732276741,2.888911375,1.207522845,0.041293329,Intron ,FSTL4,follistatin like 4,Open
chr3,120096032,120105091,9060,4.393194458,2.520728484,1.214272645,0.041293329,Intron ,GSK3B-DT,GSK3B divergent transcript,Open
chr1,231241216,231277933,36718,4.5023212,2.588521942,1.223481309,0.041293329,Intron ,GNPAT,glyceronephosphate O-acyltransferase,Open
chr1,54008739,54018172,9434,5.839631255,3.438356562,1.287923686,0.041293329,Promoter ,LDLRAD1,low density lipoprotein receptor class A domain containing 1,Open
chr22,37240805,37244248,3444,5.147624018,3.183053802,1.235806973,0.041293329,Promoter ,RAC2,Rac family small GTPase 2,Open
chr21,38256698,38301822,45125,4.343909669,2.627587529,1.175568159,0.041293329,Intron ,KCNJ15,potassium inwardly rectifying channel subfamily J member 15,Open
chr16,47236,52142,4907,5.433223079,3.509214577,1.226660055,0.041293329,Intron ,POLR3K,RNA polymerase III subunit K,Open
chr1,201622927,201823344,200418,6.347602725,3.932507429,1.284109147,0.041293329,Intron ,NAV1,neuron navigator 1,Open
chr6,52750087,52763475,13389,5.038090645,3.078271828,1.228461988,0.041293329,Intron ,GSTA2,glutathione S-transferase alpha 2,Open
chr1,212100646,212107400,6755,5.732513297,3.601819263,1.255590451,0.041293329,Distal Intergenic,DTL,denticleless E3 ubiquitin protein ligase adapter,Open
chr1,175156987,175166741,9755,4.608081382,2.718683674,1.21176203,0.041293329,Promoter ,KIAA0040,KIAA0040,Open
chr1,64867100,64869408,2309,4.673878739,2.876282159,1.189498231,0.041293329,Intron ,JAK1,Janus kinase 1,Open
chr17,76243566,76259434,15869,6.001223771,3.676257569,1.272294343,0.041293329,Intron ,LOC105371896,uncharacterized LOC105371896,Open
chr6,43370026,43425283,55258,4.485006652,2.848259672,1.154660272,0.041293329,Intron ,LOC105375065,uncharacterized LOC105375065,Open
chr1,244240588,244254558,13971,5.589185094,3.28024265,1.269944842,0.041293329,Promoter ,LOC105373262,uncharacterized LOC105373262,Open
chr1,245083456,245086961,3506,5.171082929,3.301339402,1.205992505,0.041293329,Intron ,DRC8,dynein regulatory complex subunit 8,Open
chr8,101632226,101664510,32285,5.502398714,3.359596973,1.249452275,0.041293329,Intron ,GRHL2,grainyhead like transcription factor 2,Open
chr6,41646254,41650112,3859,5.253743049,3.360558079,1.210759096,0.041293329,Exon ,MDFI,MyoD family inhibitor,Open
chr3,171157551,171225711,68161,4.687921484,2.868030473,1.192219007,0.041293329,Intron ,TNIK,TRAF2 and NCK interacting kinase,Open
chr2,127227144,127228127,984,4.969836104,2.964201966,1.229845303,0.041293329,Promoter ,LOC124907883,uncharacterized LOC124907883,Open
chr6,42547487,42549179,1693,4.110048198,2.705087487,1.06569201,0.041293329,Distal Intergenic,LOC124901317,uncharacterized LOC124901317,Open
chr15,90160604,90217786,57183,5.62881725,3.479295836,1.24998157,0.041293329,Intron ,SEMA4B,semaphorin 4B,Open
chr6,25108614,25166555,57942,4.609767652,2.873842882,1.170496764,0.041293329,Intron ,CMAHP,cytidine monophospho-N-acetylneuraminic acid hydroxylase pseudogene,Open
chr1,234746217,234772742,26526,5.814394161,3.768806665,1.236535313,0.041293329,Promoter ,LOC105373210,uncharacterized LOC105373210,Open
chr17,66964707,67033398,68692,6.329800847,3.904562622,1.269723664,0.041293329,Distal Intergenic,CACNG4,calcium voltage-gated channel auxiliary subunit gamma 4,Open
chr16,31271885,31273684,1800,4.451268634,2.675406453,1.18103122,0.041293329,Promoter ,ITGAM,integrin subunit alpha M,Open
chr13,50224281,50401366,177086,5.139219226,3.335913046,1.186664102,0.041293329,Intron ,LOC124900337,uncharacterized LOC124900337,Open
chr6,41335608,41350889,15282,4.850071655,3.171489721,1.158931448,0.041293329,Distal Intergenic,NCR2,natural cytotoxicity triggering receptor 2,Open
chr20,19886521,20002457,115937,4.33384295,2.662201708,1.140027854,0.041293329,Intron ,RIN2,Ras and Rab interactor 2,Open
chr1,147698699,147738753,40055,5.602673535,3.480971105,1.243089097,0.041293329,Intron ,LOC105371230,uncharacterized LOC105371230,Open
chr8,100702795,100722762,19968,5.391026837,3.25831748,1.243098701,0.041293329,Intron ,PABPC1,poly binding protein cytoplasmic 1,Open
chr7,130910937,130927214,16278,4.49648348,2.811352348,1.157148004,0.041293329,Exon ,LINC-PINT,long intergenic non-protein coding RNA p53 induced transcript,Open
chr20,35303454,35307055,3602,5.092454607,3.194655524,1.204366471,0.041293329,Promoter ,UQCC1,ubiquinol-cytochrome c reductase complex assembly factor 1,Open
chr17,64996087,64996471,385,4.612305419,2.708095704,1.203904732,0.041293329,Distal Intergenic,LOC124904044,uncharacterized LOC124904044,Open
chr17,37086876,37161835,74960,4.530426518,2.855329112,1.152414047,0.041293329,Intron ,ACACA,acetyl-CoA carboxylase alpha,Open
chr6,43671784,43687791,16008,5.255575308,3.088316213,1.243896605,0.041293329,Distal Intergenic,MRPS18A,mitochondrial ribosomal protein S18A,Open
chr3,177079887,177201817,121931,5.045248295,3.05507347,1.220885403,0.041293329,Intron ,TBL1XR1,TBL1X/Y related 1,Open
chr1,147611590,147611796,207,5.51343002,3.458352286,1.23027772,0.041293329,Promoter ,LOC128071544,uncharacterized LOC128071544,Open
chr6,43671784,43687791,16008,4.461819556,2.650368007,1.180736199,0.041293329,Distal Intergenic,MRPS18A,mitochondrial ribosomal protein S18A,Open
chr17,72040732,72173583,132852,4.64119155,2.881757918,1.176190268,0.041293329,Intron ,SOX9-AS1,SOX9 antisense RNA 1,Open
chr16,1632259,1686715,54457,5.286017212,3.165106922,1.237648577,0.041293329,Intron ,CRAMP1,cramped chromatin regulator 1,Open
chr16,2019785,2020755,971,5.105553537,3.052810152,1.228116844,0.041293329,Intron ,NPW,neuropeptide W,Open
chr8,101719315,102123950,404636,5.513053213,3.516951251,1.21936371,0.041293329,Intron ,NCALD,neurocalcin delta,Open
chr1,226673720,226675088,1369,4.625082999,2.746595597,1.196001309,0.041293329,Intron ,ITPKB-IT1,ITPKB intronic transcript 1,Open
chr1,212466815,212473614,6800,5.66774463,3.633528818,1.223241593,0.041293329,Intron ,LINC02771,long intergenic non-protein coding RNA 2771,Open
chr17,29673840,29761390,87551,6.161944486,3.661479355,1.259903621,0.041293329,Intron ,SSH2,slingshot protein phosphatase 2,Open
chr16,29679182,29697524,18343,3.995304819,2.517502194,1.087474773,0.041293329,Exon ,QPRT,quinolinate phosphoribosyltransferase,Open
chr17,76395358,76453141,57784,4.241737916,2.553293094,1.148200341,0.041293329,Intron ,UBE2O,ubiquitin conjugating enzyme E2 O,Open
chr8,123644442,123653801,9360,5.295126234,3.297226986,1.216722236,0.041293329,Promoter ,KLHL38,kelch like family member 38,Open
chr13,34100711,34100838,128,4.396109054,2.641173231,1.159830292,0.041293329,Distal Intergenic,LOC124900343,small nucleolar RNA SNORA25,Open
chr8,133211003,133213095,2093,5.662383126,3.624401881,1.221617117,0.041293329,Intron ,LOC102723635,uncharacterized LOC102723635,Open
chr17,76044754,76049647,4894,4.717137056,2.808649359,1.198069503,0.041293329,Promoter ,SRP68,signal recognition particle 68,Open
chr8,95115642,95156544,40903,4.653655102,2.76498514,1.193458267,0.041293329,Promoter ,PLEKHF2,pleckstrin homology and FYVE domain containing 2,Open
chr5,10261975,10264921,2947,4.461897633,2.76250877,1.145635688,0.041293329,Distal Intergenic,CCT5,chaperonin containing TCP1 subunit 5,Open
chr1,205657851,205662668,4818,5.098148427,3.416389965,1.145952722,0.041293329,Promoter ,SLC45A3,solute carrier family 45 member 3,Open
chr1,202013778,202015794,2017,6.340434743,4.043647481,1.244147487,0.041293329,Distal Intergenic,ELF3,E74 like ETS transcription factor 3,Open
chr15,58597165,58621504,24340,4.595548063,2.397440884,1.234587561,0.041293329,Intron ,ADAM10,ADAM metallopeptidase domain 10,Open
chr1,202348766,202577299,228534,4.536570786,2.517695689,1.211672404,0.041293329,Intron ,PPP1R12B,protein phosphatase 1 regulatory subunit 12B,Open
chr10,71871500,71879110,7611,4.692549784,2.985688062,1.152457362,0.041293329,Promoter ,LINC03139,long intergenic non-protein coding RNA 3139,Open
chr10,31129978,31133777,3800,4.181611213,2.838753654,1.025448489,0.041293329,Intron ,LOC105376482,uncharacterized LOC105376482,Open
chr14,77298689,77302943,4255,4.919963476,3.045481688,1.187488889,0.041293329,Promoter ,POMT2,protein O-mannosyltransferase 2,Open
chr22,45875968,45887724,11757,4.94180546,3.184335651,1.163798182,0.041293329,Promoter ,LOC107985535,uncharacterized LOC107985535,Open
chr1,159900475,159903431,2957,5.994296896,3.873412098,1.225662861,0.041293329,Promoter ,LOC124904435,uncharacterized LOC124904435,Open
chr11,67351548,67353078,1531,5.760163504,3.202545791,1.248195341,0.041293329,Intron ,POLD4,DNA polymerase delta 4 accessory subunit,Open
chr19,44259880,44275309,15430,4.390710824,2.792903562,1.11752841,0.041293329,Promoter ,ZNF233,zinc finger protein 233,Open
chr1,231162058,231221565,59508,5.034363951,3.145325823,1.190349015,0.041293329,Distal Intergenic,TRIM67,tripartite motif containing 67,Open
chr2,224834170,224931651,97482,4.604123818,2.739726787,1.182522426,0.041293329,Intron ,DOCK10,dedicator of cytokinesis 10,Open
chr15,98897286,98899576,2291,4.229399153,2.813915231,1.05034151,0.041293329,Promoter ,IGF1R,insulin like growth factor 1 receptor,Open
chr20,57652037,57691830,39794,4.483063001,2.647794714,1.176192153,0.041293329,Intron ,PMEPA1,prostate transmembrane protein androgen induced 1,Open
chr19,16161415,16173475,12061,4.424974869,2.905040457,1.095924866,0.041293329,Promoter ,CIB3,calcium and integrin binding family member 3,Open
chr8,124111240,124171529,60290,5.745289579,3.559958463,1.229111804,0.041293329,Intron ,FER1L6-AS2,FER1L6 antisense RNA 2,Open
chr17,56791913,56795292,3380,5.207084505,3.170160909,1.211311934,0.041293329,Distal Intergenic,C17orf67,chromosome 17 open reading frame 67,Open
chr8,100382763,100382845,83,5.00429457,3.224543218,1.164068234,0.041293329,Exon ,MIR4471,microRNA 4471,Open
chr17,62788507,62806640,18134,4.61067324,2.774398888,1.17596662,0.041293329,Intron ,MARCHF10,membrane associated ring-CH-type finger 10,Open
chr17,62749976,62759991,10016,5.646325744,3.540381086,1.218292017,0.041293329,Intron ,MARCHF10,membrane associated ring-CH-type finger 10,Open
chr17,81282189,81295547,13359,4.753951202,2.853263556,1.188114986,0.041293329,Promoter ,SLC38A10,solute carrier family 38 member 10,Open
chr16,10877198,10924983,47786,4.937901289,3.228747645,1.151229778,0.041293329,Promoter ,CIITA,class II major histocompatibility complex transactivator,Open
chr6,45573346,45576770,3425,4.555468109,2.922721259,1.120684514,0.041293329,Intron ,RUNX2-AS1,RUNX2 antisense RNA 1,Open
chr10,8897989,8914596,16608,4.367834468,2.784591466,1.108318037,0.041293329,Intron ,LINC02676,long intergenic non-protein coding RNA 2676,Open
chr10,124704044,124705700,1657,4.999753642,3.324963629,1.139189719,0.041293329,Intron ,FAM53B-AS1,FAM53B antisense RNA 1,Open
chr2,111429324,111699033,269710,4.720197902,2.947362115,1.163815344,0.041293329,Intron ,MIR4435-2HG,MIR4435-2 host gene,Open
chr1,181135187,181182208,47022,5.838953813,3.685596632,1.220330735,0.041293329,Intron ,LINC01732,long intergenic non-protein coding RNA 1732,Open
chr1,226983007,226987544,4538,5.066504519,3.209875967,1.177640107,0.041293329,Distal Intergenic,COQ8A,coenzyme Q8A,Open
chr8,95072914,95072993,80,5.596470714,3.648071117,1.193193737,0.041293329,Exon ,MIR3150A,microRNA 3150a,Open
chr15,62343029,62343138,110,4.362476972,2.325961179,1.203892696,0.041293329,Intron ,MIR6085,microRNA 6085,Open
chr22,28794559,28797045,2487,4.466739125,2.813169651,1.131187335,0.041293329,Distal Intergenic,XBP1,X-box binding protein 1,Open
chr17,39706749,39709385,2637,7.944552229,4.757125832,1.204178612,0.041293329,Promoter ,ERBB2,erb-b2 receptor tyrosine kinase 2,Open
chr22,35563607,35587706,24100,4.825083511,3.251148481,1.106082636,0.041293329,Promoter ,LOC107985590,uncharacterized LOC107985590,Open
chr9,127940582,127980989,40408,4.683282956,3.168302004,1.09193234,0.041293329,Distal Intergenic,EEIG1,estrogen-induced osteoclastogenesis regulator 1,Open
chr12,113185721,113192368,6648,3.983578095,2.420642103,1.098898056,0.041293329,Distal Intergenic,RITA1,RBPJ interacting and tubulin associated 1,Open
chr8,65602459,65634217,31759,4.740167774,2.83216567,1.181986579,0.041293329,Promoter ,ARMC1,armadillo repeat containing 1,Open
chrX,21940941,21978111,37171,5.007141641,3.164731661,1.171227807,0.041293329,Intron ,SMS,spermine synthase,Open
chr16,29940885,29973050,32166,4.729956334,3.101225629,1.121346853,0.041293329,Intron ,TMEM219,transmembrane protein 219,Open
chr17,64787032,64797409,10378,4.758452319,2.547977112,1.221181329,0.041293329,Intron ,PLEKHM1P1,pleckstrin homology and RUN domain containing M1 pseudogene 1,Open
chr9,76614008,76615162,1155,4.626523242,2.772273895,1.172492478,0.041293329,Intron ,PRUNE2,prune homolog 2 with BCH domain,Open
chr21,34787801,35049344,261544,4.732935342,2.823045837,1.18313608,0.041293329,Intron ,RUNX1,RUNX family transcription factor 1,Open
chr8,115619913,115809673,189761,4.99753253,3.15900757,1.170444867,0.041293329,Distal Intergenic,TRPS1,transcriptional repressor GATA binding 1,Open
chr1,223712539,223776018,63480,5.406880602,3.265619448,1.214766478,0.041293329,Intron ,CAPN2,calpain 2,Open
chr2,111429324,111699033,269710,5.449017551,3.608069346,1.171569851,0.041293329,Promoter ,MIR4435-2HG,MIR4435-2 host gene,Open
chr17,16164906,16194611,29706,4.030661479,2.522206162,1.082986274,0.041293329,3' UTR,NCOR1,nuclear receptor corepressor 1,Open
chr17,50426252,50474831,48580,4.520112845,2.544707764,1.191207029,0.041293329,Intron ,ACSF2,acyl-CoA synthetase family member 2,Open
chr1,155033970,155049264,15295,5.592048816,3.436590933,1.214665109,0.041293329,Intron ,DCST1,DC-STAMP domain containing 1,Open
chr6,25108614,25166555,57942,4.390557536,2.775525724,1.114688266,0.041293329,Promoter ,CMAHP,cytidine monophospho-N-acetylneuraminic acid hydroxylase pseudogene,Open
chr1,209827972,209857565,29594,5.346857696,3.391039858,1.190037607,0.041293329,Distal Intergenic,UTP25,UTP25 small subunit processome component,Open
chr15,62066977,62070917,3941,4.433345674,2.737431038,1.138141906,0.041293329,Distal Intergenic,C2CD4A,C2 calcium dependent domain containing 4A,Open
chr17,74970694,74975728,5035,5.341874682,3.411982612,1.184507472,0.041293329,Promoter ,HID1-AS1,HID1 antisense RNA 1,Open
chr19,38869284,38869921,638,5.386526872,3.23066169,1.212446673,0.041293329,Distal Intergenic,RINL,Ras and Rab interactor like,Open
chr17,72823607,72992949,169343,5.308302671,3.220814635,1.205322231,0.041293329,Intron ,SLC39A11,solute carrier family 39 member 11,Open
chr17,50966300,50975360,9061,5.117441611,3.337300519,1.154981592,0.041293329,Exon ,SPAG9,sperm associated antigen 9,Open
chr1,245107179,245122521,15343,5.532881971,3.343957945,1.2143007,0.041293329,Intron ,DRC8,dynein regulatory complex subunit 8,Open
chr3,30673973,30693820,19848,4.273589702,2.723801633,1.097763335,0.041293329,Intron ,TGFBR2,transforming growth factor beta receptor 2,Open
chr3,187071974,187078551,6578,4.669874084,2.871870627,1.157521838,0.041293329,Intron ,ST6GAL1,ST6 beta-galactoside alpha-26-sialyltransferase 1,Open
chr7,139417456,139446452,28997,4.369971819,2.781870371,1.098887526,0.041293329,Promoter ,LOC100129148,uncharacterized LOC100129148,Open
chr6,136342281,136550819,208539,4.860338982,3.139720209,1.13947499,0.041293329,Intron ,MAP7,microtubule associated protein 7,Open
chr7,30425209,30433414,8206,4.841964603,3.075581747,1.14956183,0.041293329,Promoter ,NOD1,nucleotide binding oligomerization domain containing 1,Open
chr19,41796587,41811554,14968,4.745181474,3.119383334,1.116996681,0.041293329,Intron ,CEACAM3,CEA cell adhesion molecule 3,Open
chr7,20217536,20221700,4165,5.383732354,3.512030314,1.17127394,0.041293329,Promoter ,GIRGL,glutamine insufficiency regulator of glutaminase lncRNA,Open
chr19,16143736,16157329,13594,4.57736675,2.861475217,1.13534761,0.041293329,Promoter ,HSH2D,hematopoietic SH2 domain containing,Open
chr7,102104437,102115670,11234,4.354989279,2.777244648,1.099226072,0.041293329,Intron ,CUX1,cut like homeobox 1,Open
chr17,74560781,74567343,6563,5.04735987,3.237918867,1.157933752,0.041293329,Promoter ,CD300H,CD300H molecule ,Open
chr1,202013778,202015794,2017,5.933900464,3.917507634,1.192396461,0.041293329,Distal Intergenic,ELF3,E74 like ETS transcription factor 3,Open
chr1,230067259,230092033,24775,4.603439801,2.96898881,1.117669494,0.041293329,Intron ,GALNT2,polypeptide N-acetylgalactosaminyltransferase 2,Open
chr20,53738728,53741797,3070,4.87683955,2.719748345,1.206165335,0.041293329,Promoter ,LOC124904933,uncharacterized LOC124904933,Open
chr7,92057626,92110660,53035,4.288618016,2.804935634,1.068622804,0.041293329,Promoter ,AKAP9,A-kinase anchoring protein 9,Open
chr21,29370947,29373709,2763,4.65914598,2.953065277,1.130632493,0.041293329,Intron ,BACH1-IT2,BACH1 intronic transcript 2,Open
chr8,67422310,67452650,30341,4.310037035,2.689972375,1.107789768,0.041293329,Intron ,CPA6,carboxypeptidase A6,Open
chr12,53763421,53896675,133255,5.13722242,3.146774082,1.185993256,0.041293329,Intron ,LOC105378250,uncharacterized LOC105378250,Open
chr12,91987986,92061937,73952,4.415111629,2.803726025,1.110631176,0.041293329,Intron ,LINC01619,long intergenic non-protein coding RNA 1619,Open
chr1,234813261,234870713,57453,4.687493772,2.9304777,1.144490213,0.041293329,Intron ,LOC107985365,uncharacterized LOC107985365,Open
chr18,45800617,45806787,6171,5.409577798,3.267556494,1.201408196,0.041293329,Intron ,EPG5,ectopic P-granules 5 autophagy tethering factor,Open
chr10,122113030,122210569,97540,4.257998017,2.754402119,1.067738856,0.041293329,Intron ,TACC2,transforming acidic coiled-coil containing protein 2,Open
chr1,211326833,211374946,48114,5.185952734,3.481162912,1.130190678,0.041293329,Intron ,TRAF5,TNF receptor associated factor 5,Open
chr1,232312609,232319455,6847,4.764214545,2.910578499,1.161353229,0.041293329,Promoter ,LOC101929902,uncharacterized LOC101929902,Open
chr8,100416982,100501148,84167,5.80545535,3.651292684,1.201885919,0.041293329,Promoter ,LOC124901992,uncharacterized LOC124901992,Open
